card_number,renterID,card_type,expiry_date
4892941846435180,23904087,Visa,2018-03-01
4539410243387290,24122606,Visa,2018-07-01
4024007113725330,24345657,Visa,2018-05-01
4024007197932800,29603052,Visa,2018-04-01
4929001864752260,30753730,Visa,2018-10-01
5593555720954390,33212966,Mastercard,2018-10-01
5542670987005760,34470961,Mastercard,2018-04-01
5341739687429880,34552909,Mastercard,2018-06-01
5144925245137800,36141263,Mastercard,2018-12-01
5159244855051110,37193227,Mastercard,2018-03-01
5449801984500970,37253135,Mastercard,2018-12-01
5541388115079900,37844039,Mastercard,2018-01-01
348628903504024,38573316,American Express,2018-01-01
345520622443811,38855266,American Express,2018-02-10
370071455618333,44625108,American Express,2018-06-01
342009793906205,46037158,American Express,2018-08-01
370606736162831,52992470,American Express,2018-11-01
